title,authors,language,categories,averageRating
Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Inward Journey,,en,['Medical'],
The Boston Directory ...,,en,['Boston'],
Bring Your Own Devices (BYOD) Survival Guide,['Jessica Keyes'],en,['Business & Economics'],
Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],
The CIO's Guide to Oracle Products and Solutions,['Jessica Keyes'],en,['Business & Economics'],
Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],
Implementing the Project Management Balanced Scorecard,['Jessica Keyes'],en,['Business & Economics'],
Social Software Engineering,['Jessica Keyes'],en,['Computers'],
Classes on Modern Poets and the Art of Poetry,"['James Dickey', 'Donald J. Greiner']",en,['Biography & Autobiography'],4.5
Population Health Science,"['Katherine M. Keyes', 'Sandro Galea', 'Robert a Knox Professor and Dean Sandro Galea, MD']",en,,
Retelling the Nicaraguan Revolution as a Dionysian Ritual,['Martina Handler'],en,['History'],
Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],
Handbook of Applied Developmental Science,"['Richard M. Lerner', 'Francine Jacobs', 'Donald Wertlieb']",en,['Psychology'],
Wade Keyes' introductory lecture to the Montgomery Law School,"['David I. Durham', 'Wade Keyes', 'Paul M. Pruitt']",en,['Law'],
The Journal of the Iowa Academy of Science,,en,['Science'],
Dental Science in a New Age,['Ruth Roy Harris'],en,['Dentistry'],
List of the Scientific Writings of Charles Rollin Keyes,,en,['Geology'],
A Study Guide for Daniel Keyes's Flowers for Algernon,"['Gale, Cengage Learning']",en,['Literary Criticism'],
Domain-based Parallelism and Problem Decomposition Methods in Computational Science and Engineering,"['David E. Keyes', 'Yousef Saad', 'Donald G. Truhlar']",en,['Mathematical optimization'],
United States Department of Commerce Telephone Directory,['United States. Dept. of Commerce'],en,,
Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],
Technology Trendlines,['Jessica Keyes'],en,['Business & Economics'],
Biography and Genealogy Master Index,,en,['Biography'],
Technical Paper - Bureau of Mines,['United States. Bureau of Mines'],en,['Mineral industries'],
The Corporate Directory of US Public Companies 1995,['Elizabeth Walsh'],en,['Business & Economics'],
"The National Deans List, 1997-98",,en,['Students'],3.0
Who's who in Technology,,en,['Technologists'],
The United States Patents Quarterly,,en,['Copyright'],
ACSA Annual Directory,['Association of Collegiate Schools of Architecture'],en,['Architecture'],
"World War II: the Encyclopedia of the War Years, 1941-1945","['Norman Polmar', 'Thomas B. Allen']",en,['History'],1.0
Bulletin - New Mexico Bureau of Mines & Mineral Resources,['New Mexico. Bureau of Mines and Mineral Resources'],en,['Geology'],
Whitaker's Five-year Cumulative Book List,,en,['English literature'],
American Predator,['Maureen Callahan'],en,['True Crime'],4.0
Whitaker's Cumulative Book List,,en,['Great Britain'],
"Business Organizations, Keyed to Soderquist",['Casenotes'],en,['Business & Economics'],
Next-Generation Biofuels,['William T. Coyle'],en,['Alcohol as fuel'],
"Casenote Legal Briefs for Business Organizations, Keyed to Smiddy and Cunningham",['Casenote Legal Briefs'],en,['Law'],
No Oath Sworn,['Phil Geusz'],en,['Fiction'],
Southern Writers,"['Joseph M. Flora', 'Amber Vogel']",en,['Reference'],
Therapist's Guide to Positive Psychological Interventions,['Jeana L. Magyar-Moe'],en,['Psychology'],
A Handbook for the Study of Mental Health,"['Teresa L. Scheid', 'Eric R. Wright']",en,['Medical'],
Foundations of Professional Psychology,['Timothy P Melchert'],en,['Psychology'],
Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,['Computers'],
Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],
The Courage to Write,['Ralph Keyes'],en,['Language Arts & Disciplines'],4.0
Epidemiology Matters,"['Katherine M. Keyes', 'Sandro Galea']",en,['Medical'],
"Thermodynamic Functions of Gases: Ammonia, carbon dioxide and carbon monoxide",['F. Din'],en,['Gases'],
Journal of Heat Transfer,,en,['Heat'],
Data Modeling Essentials,"['Graeme Simsion', 'Graham Witt']",en,['Computers'],4.0
CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],
The Infernal City: An Elder Scrolls Novel,['Greg Keyes'],en,['Fiction'],3.5
Sushi for Beginners,['Marian Keyes'],en,['Fiction'],3.5
Angels,['Marian Keyes'],en,['Fiction'],4.0
Science Fiction and Fantasy Literature,"['R. Reginald', 'Douglas Menville', 'Mary A. Burgess']",en,['Reference'],
Independence Day: Crucible,['Greg Keyes'],en,['Fiction'],
The Mammoth Encyclopedia of Science Fiction,['George Mann'],en,['Fiction'],3.0
The Mystery of Mercy Close,['Marian Keyes'],en,['Fiction'],3.5
The New Orleans of Fiction,['James A. Kaser'],en,['Literary Criticism'],
Lord of Souls,['J. Gregory Keyes'],en,['Fiction'],3.0
"The Dardanelles Campaign, 1915",,en,['History'],
The Routledge Handbook of Stylistics,['Michael Burke'],en,['Language Arts & Disciplines'],
The Liberation Trilogy Box Set,['Rick Atkinson'],en,['History'],1.0
Legacy Discovered,['Kerry Reis'],en,['Fiction'],
"Masterplots II, Short Story Series, Supplement",['Frank N. Magill'],en,['Juvenile Fiction'],
Elisha Jones House and Shed,"['James J. Lee (III.)', 'Historic Architecture Program (United States. National Park Service. Northeast Region)']",en,['Historic buildings'],
An Unpredictable Gospel,['Jay Riley Case'],en,['Religion'],
Masterplots II.,['Charles Edward May'],en,['Study Aids'],
Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],
Stories and Poems for Opening Exercises,,en,"[""Children's stories""]",
"The Encyclopedia of Superheroes on Film and Television, 2d ed.",['John Kenneth Muir'],en,['Performing Arts'],4.0
Flowers for Algernon,['Patrice Cassedy'],en,['Juvenile Nonfiction'],
Fishery Bulletin,,en,['Fisheries'],
CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],
Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5.0
Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5
Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5
Caii Spectrum Or Dr. Keyes's Charge Against Dr. M -- [i.e. Dr. Richard Mead],['John Caius (Spirit)'],en,['Communicable diseases'],
